id,start,end
1,0,3
2,3,11
3,11,15
4,15,17
5,17,25
6,25,28
7,28,35
8,35,38
9,38,46
10,46,51
11,51,59
12,59,62
13,62,70
14,70,72
15,72,76
16,76,83
17,83,91
18,91,95
19,95,100
20,100,102
21,102,106
22,106,111
23,111,117
24,117,120
25,120,128
26,128,130
27,130,137
28,137,143
29,143,148
30,148,155
31,155,158
32,158,161
33,161,164
34,164,166
35,166,172
36,172,180
37,180,188
38,188,191
39,191,198
40,198,202
41,202,210
42,210,214
43,214,218
44,218,223
45,223,230
46,230,237
47,237,242
48,242,246
49,246,254
50,254,258
51,258,264
52,264,268
53,268,276
54,276,284
55,284,289
56,289,291
57,291,299
58,299,307
59,307,310
60,310,314
61,314,317
62,317,325
63,325,333
64,333,339
65,339,347
66,347,353
67,353,357
68,357,365
69,365,367
70,367,373
71,373,381
72,381,388
73,388,393
74,393,398
75,398,403
76,403,411
77,411,414
78,414,422
79,422,430
80,430,438
81,438,441
82,441,449
83,449,453
84,453,459
85,459,463
86,463,471
87,471,479
88,479,487
2,487,488
9,488,489
11,489,491
25,491,492
37,492,494
41,494,496
53,496,498
54,498,499
58,499,501
62,501,503
68,503,504
71,504,505
76,505,506
78,506,507
79,507,508
82,508,509
86,509,511
87,511,512
88,512,514
